problemId,level,averageTries,tags
1000,1,2.4906,"implementation,arithmetic,math,"
1001,1,1.421,"implementation,arithmetic,math,"
1002,8,4.4786,"case_work,geometry,math,"
1003,8,3.0812,"dp,"
1004,8,2.1913,"geometry,math,"
1005,13,3.6431,"dp,graphs,topological_sorting,"
1006,18,5.1337,"dp,"
1007,14,2.6785,"bruteforcing,math,"
1008,1,2.8795,"implementation,arithmetic,math,"
1009,4,4.1047,"implementation,math,"
1010,6,2.0673,"combinatorics,dp,math,"
1011,11,3.2042,"math,"
1012,9,2.6507,"graphs,graph_traversal,bfs,dfs,"
1013,11,2.7464,"regex,string,"
1014,17,2.1429,"bitmask,dp,flow,dp_bitfield,"
1015,7,1.8631,"sorting,"
1016,15,4.678,"math,number_theory,primality_test,sieve,"
1017,18,3.9936,"bipartite_matching,math,number_theory,primality_test,sieve,"
1018,7,2.0258,"bruteforcing,"
1019,15,2.4098,"math,"
1020,19,3.5492,"dp,"
1021,8,1.644,"data_structures,deque,"
1022,13,3.3902,"implementation,math,"
1023,18,2.8827,"combinatorics,dp,math,"
1024,9,3.5626,"math,"
1025,11,3.036,"bruteforcing,"
1026,7,1.4687,"greedy,math,sorting,"
1027,12,2.2735,"bruteforcing,geometry,math,"
1028,16,4.0241,"dp,prefix_sum,"
1029,15,3.6162,"bitmask,dp,dp_bitfield,"
1030,13,2.2067,"divide_and_conquer,implementation,recursion,"
1031,21,4.125,"flow,"
1032,5,1.7517,"implementation,string,"
1033,14,3.1056,"euclidean,graphs,graph_traversal,math,number_theory,"
1034,12,2.4321,"ad_hoc,bruteforcing,"
1035,15,2.3093,"bfs,bitmask,bruteforcing,graphs,graph_traversal,"
1036,15,4.2883,"arbitrary_precision,greedy,implementation,math,string,"
1037,5,1.7991,"math,number_theory,"
1038,11,2.9707,"backtracking,bruteforcing,"
1039,14,4.4588,"bfs,graphs,graph_traversal,"
1040,19,4.1833,"bitmask,dp,dp_bitfield,greedy,"
1041,11,3.6629,"greedy,math,"
1042,20,2.8687,"dp,string,"
1043,12,2.2392,"data_structures,disjoint_set,graphs,graph_traversal,"
1044,18,5.837,"bitmask,mitm,"
1045,15,3.68,"graphs,greedy,mst,"
1046,23,3.6716,"geometry,implementation,line_intersection,sweeping,"
1047,16,3.3969,"bruteforcing,greedy,"
1048,17,3.0659,"dp,prefix_sum,"
1049,7,2.565,"greedy,math,"
1050,16,8.1799,"graphs,parsing,string,"
1051,8,2.3008,"bruteforcing,implementation,"
1052,10,2.5755,"bitmask,greedy,math,"
1053,15,2.6824,"bruteforcing,dp,"
1054,22,3.6176,"bitmask,dp,dp_bitfield,string,"
1055,18,4.7518,"implementation,recursion,simulation,"
1056,19,4.7813,"arbitrary_precision,binary_search,dp,"
1057,7,1.7523,"bruteforcing,math,"
1058,9,2.2048,"bruteforcing,floyd_warshall,graphs,graph_traversal,"
1059,7,3.5952,"bruteforcing,math,sorting,"
1060,15,4.8216,"data_structures,math,priority_queue,sorting,"
1061,20,7.3256,"convex_hull,geometry,"
1062,12,3.9584,"backtracking,bitmask,bruteforcing,"
1063,8,2.5136,"implementation,simulation,"
1064,7,3.2135,"geometry,math,pythagoras,"
1065,7,1.8505,"bruteforcing,"
1066,19,1.4412,"dp,greedy,"
1067,20,1.8554,"fft,math,"
1068,11,3.5356,"dfs,graphs,graph_traversal,trees,"
1069,13,3.3592,"ad_hoc,case_work,geometry,"
1070,20,3.3881,"flow,graphs,mfmc,"
1071,16,3.3741,"greedy,"
1072,8,4.2072,"binary_search,math,"
1073,18,1.7887,"eulerian_path,graphs,math,"
1074,10,2.4834,"divide_and_conquer,recursion,"
1075,4,1.7566,"bruteforcing,math,"
1076,4,2.1935,"implementation,"
1077,20,4.8148,"convex_hull,geometry,line_intersection,point_in_convex_polygon,polygon_area,"
1078,20,6.7576,"bruteforcing,math,"
1079,14,4.8394,"bruteforcing,"
1080,10,2.3904,"greedy,"
1081,15,2.4569,"math,"
1082,13,3.2801,"dp,greedy,"
1083,11,3.6182,"greedy,sorting,"
1084,19,7.4844,"greedy,implementation,"
1085,3,1.5495,"geometry,math,"
1086,16,3.9325,"bitmask,dp,dp_bitfield,"
1087,17,4.4711,"ternary_search,"
1088,19,2.9108,"greedy,"
1089,12,3.6645,"implementation,math,probability,"
1090,17,2.4,"bruteforcing,"
1091,12,2.1979,"implementation,simulation,"
1092,11,4.1766,"greedy,sorting,"
1093,18,4.8136,"binary_search,bruteforcing,mitm,"
1094,6,1.3316,"bitmask,math,"
1095,16,5.8699,"math,number_theory,primality_test,sieve,"
1096,18,3.3279,"bruteforcing,"
1097,16,2.1795,"bruteforcing,kmp,string,"
1098,19,5.8158,"bitmask,dp,dp_bitfield,"
1099,13,3.0388,"dp,"
1100,4,1.3999,"implementation,string,"
1101,12,2.916,"bruteforcing,greedy,"
1102,16,3.9597,"bitmask,dp,dp_bitfield,"
1103,14,4.751,"dfs,dp,graphs,graph_traversal,"
1104,18,7.2222,"case_work,implementation,string,"
