,Unnamed: 0.1,problemId,titleKo,titles,isSolvable,acceptedUserCount,level,givesNoRating,averageTries,official,tags
0,0,1000,A+B,"[{'language': 'en', 'languageDisplayName': 'en', 'title': 'A+B', 'isOriginal': True}, {'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A+B', 'isOriginal': True}]",True,248747,1,False,2.4906,True,"implementation,arithmetic,math,"
1,1,1001,A-B,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A-B', 'isOriginal': True}]",True,211935,1,False,1.421,True,"implementation,arithmetic,math,"
2,2,1002,터렛,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '터렛', 'isOriginal': True}]",True,33220,8,False,4.4786,True,"case_work,geometry,math,"
3,3,1003,피보나치 함수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '피보나치 함수', 'isOriginal': True}]",True,45403,8,False,3.0812,True,"dp,"
4,4,1004,어린 왕자,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '어린 왕자', 'isOriginal': True}]",True,13610,8,False,2.1913,True,"geometry,math,"
5,5,1005,ACM Craft,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'ACM Craft', 'isOriginal': True}]",True,11537,13,False,3.6431,True,"dp,graphs,topological_sorting,"
6,6,1006,습격자 초라기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '습격자 초라기', 'isOriginal': True}]",True,1788,18,False,5.1337,True,"dp,"
7,7,1007,벡터 매칭,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '벡터 매칭', 'isOriginal': True}]",True,2986,14,False,2.6785,True,"bruteforcing,math,"
8,8,1008,A/B,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A/B', 'isOriginal': True}]",True,170308,1,False,2.8795,True,"implementation,arithmetic,math,"
9,9,1009,분산처리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '분산처리', 'isOriginal': True}]",True,17661,4,False,4.1047,True,"implementation,math,"
10,10,1010,다리 놓기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '다리 놓기', 'isOriginal': True}]",True,30115,6,False,2.0673,True,"combinatorics,dp,math,"
11,11,1011,Fly me to the Alpha Centauri,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'Fly me to the Alpha Centauri', 'isOriginal': True}]",True,21534,11,False,3.2042,True,"math,"
12,12,1012,유기농 배추,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '유기농 배추', 'isOriginal': True}]",True,40879,9,False,2.6507,True,"graphs,graph_traversal,bfs,dfs,"
13,13,1013,Contact,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'Contact', 'isOriginal': True}]",True,3907,11,False,2.7464,True,"regex,string,"
14,14,1014,컨닝,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '컨닝', 'isOriginal': False}, {'language': 'en', 'languageDisplayName': 'en', 'title': 'No Cheating (Small)', 'isOriginal': True}]",True,1805,17,False,2.1429,True,"bitmask,dp,flow,dp_bitfield,"
15,15,1015,수열 정렬,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '수열 정렬', 'isOriginal': True}]",True,5434,7,False,1.8631,True,"sorting,"
