user_id,id_to_index
sobu0715,0
ystc1247,1
bgoodsamari,2
sat0317,3
howlism,4
illyamchi,5
whatsup,6
aaaa727,7
djang,8
brent912,9
enopid,10
nohhans,11
leeho203,12
rosdurtls2,13
ibd1229,14
sun4_me,15
sacomex32,16
brother,17
rkdgh98,18
seongside,19
tree0787,20
computerace13,21
corncheese,22
devtaemin,23
stone0327,24
tjdqo0788,25
nagta,26
rohsikdak,27
koyh1200,28
ds257873,29
dudgns1239,30
doit99,31
siosio24,32
kkj3263,33
haram518303,34
van133,35
lsj0822,36
yhs03043,37
hjs12345,38
yoonjong1820,39
yunobo,40
vel1024,41
rhkrqudals,42
apicad0307,43
wnrrhtlvsi43,44
mintyu,45
curihus,46
splguyjr,47
jhs1oo4,48
guhyun9454,49
doonga1406,50
yuseungju,51
lcm5500,52
sunyeong0412,53
akrso06197,54
yuu3730,55
kgu0515,56
wjdgus3608,57
hgsu0806,58
gaeng_02,59
hjy0507,60
arietis,61
younguk10077,62
yongdol503,63
yh9468,64
worl5604,65
dkyou7,66
vonovo123,67
dalae37,68
syw5141,69
mymelody,70
penguin1234,71
qo613,72
riverboy94,73
woo2484,74
Kingsoo,75
rladudqls0302,76
bluejoyq,77
beauboy,78
1000chw,79
linear114,80
qudtjr0409,81
krgreenteabro,82
juwonju,83
altmd99,84
junu_ddi,85
dbwhdtjr0457,86
minhwan514,87
lovewissm,88
dangyee,89
youngju6143,90
nokh9503,91
punchdrunkllov2,92
choah76,93
bo314,94
kms1998,95
cmd1222,96
juna831,97
hanorang2,98
rjsdntlsdj,99
mjoo1106,100
whitesun814,101
heyazoo1007,102
dnzma13,103
yoy07030,104
jw4711,105
yhb457,106
sj_park,107
contail,108
helioty,109
overwindow,110
wish,111
ekaqosoato,112
ttingdol,113
Swote,114
dlsrjsdl6505,115
tks7205,116
lcs11244,117
unhappydogchew,118
wnsdl1659,119
audtjrauddn,120
felicia,121
nailbrainz,122
ty1295,123
pjkov0824,124
kebee95,125
sw0000j,126
bpsswu,127
jwseo001,128
slava,129
rlatmdxo1998,130
kst54252,131
shinhup4743,132
mardi83494,133
emiyuel,134
kani215,135
rlaqjarn1008,136
ehddud2468,137
xvsgxv,138
jujojujoju,139
rhdwnsla1223,140
wjkim9653,141
eu2525,142
love4rg,143
yi9353,144
sajiho,145
epser,146
ckaehd95,147
hjs7747,148
cracker06,149
dldkgus98,150
yjs03057,151
ghdtjdvy7205,152
kmk324,153
oownhi88,154
hwankim123,155
wjdjsy210,156
gmini0320,157
tejavascript,158
ksw9997,159
kimwj9792,160
baekj_c,161
rkdgusxo66,162
ekekekgml,163
sr9166,164
jtj323,165
sundong99,166
qwqw1314,167
pooohding,168
tjddus424,169
minahkim026,170
play2ski,171
jk62362,172
yechan2468,173
ysb8049,174
kbpark9898,175
manatom,176
whdgus4892,177
sky21kr,178
rlfwkd3,179
sju0924,180
jinho1016,181
blacksnake,182
blackapple,183
rlatkddn12,184
cheddar,185
bigmsh,186
seo0408,187
bl5angel,188
jiyeon2536,189
vkdnej91,190
bluehyena123,191
seoyeon1018,192
monica0326,193
firefinger08,194
twotwo28,195
xhae000,196
kdc9619,197
jj5973,198
sh0454,199
euzl,200
trevor522,201
solotache,202
racecar,203
asset,204
dlrbcnvk,205
hackerbv,206
lclgood97,207
belldragon,208
kylej4,209
ghlee9883,210
un4255,211
wnsdud1861,212
imash0728,213
phobyjun,214
cjhoon96,215
thealmightydenver,216
nuvo,217
dodfor,218
tg42672,219
kkd3258,220
jihoonlee199,221
donghar,222
adhoc0909,223
mu08014,224
kjhun1208,225
dhrhkdwn7,226
minjun9282,227
rlaehdwls120,228
dkssud17,229
hms3512,230
sonic247897,231
dannykm,232
bhhh569,233
svcbn,234
dhwns1003,235
spearkkk,236
lhw970405,237
con11235,238
01hyunseo,239
lgs2927,240
eshkim77,241
jin35kkk,242
jmsk1998,243
sjw0592,244
leehakjoo,245
stevem95,246
rlawnstn0904,247
carrie0129,248
willy,249
mingi9391,250
choi5798,251
dodobow,252
evade,253
overnap,254
gyeonga,255
kim031504,256
gksqlsl11,257
kangkh0906,258
train0113,259
mathdong01,260
peter0708,261
jinsub1999,262
paraeism,263
wssj3259,264
rokkyw,265
hsy0324,266
icefalls,267
dldusgkr788,268
2468ab,269
xpsxm468,270
hazxz,271
ywoosang,272
kimh060612,273
hiasince12,274
asdsa2134,275
wjdghks6086,276
kkh115505,277
qjatjr29,278
rosedskim,279
jws970306,280
djigfox,281
sendol,282
tnqls5417,283
ghssh1,284
kmj951015,285
komogoon,286
nova9128,287
ghdthd123,288
rnxogud136,289
ness9917,290
swa07016,291
hithere314,292
world9969,293
infikei,294
thak00,295
dbgusdn012,296
gyuho965,297
zidarn,298
doralife12,299
nlkey2022,300
dlwlrma2003,301
cosmos7,302
journeyji95,303
yeari0,304
jjjeju1202,305
nkmj0623r222,306
kangsanl,307
kth0321,308
zix1124,309
vict0716,310
happyhoo,311
kangtak1101,312
