course_id,author,course_name,course_name_main
1152,baekjoon,삼성 SW 역량 테스트 기출 문제,-
4349,redbin0471,단기간 성장,-
4357,danimartinwife,★직접 코테 광탈하면서 모은 문제들☆,-
459,automata,Python 배우기 (1~50),-
2771,baekjoon,삼성 A형 기출 문제,-
2305,jh05013,"Hi, so to me seems like a notorious coincidence.",-
8708,ses9928,IT기업 및 대기업 계열사 코테보면서 비슷했던 문제들(지속적으로 업데이트 중),-
1983,njw1204,DFS+BFS 필수 문제,-
2418,ryute,BOJ 길라잡이 베타 (1),-
4380,park780172,"코딩 테스트 완전 정복 - Greedy(그리디), 탐욕 필수 문제",-
1999,jh05013,구현의 왕,-
2163,kks227,역대 DP 연습셋 기출문제,-
7313,BaaaaaaaaaaarkingDog,0x09강 - BFS,-
7319,BaaaaaaaaaaarkingDog,0x10강 - 다이나믹 프로그래밍,-
140,yukariko,초등학교를 졸업하자 - KOI편,-
7316,BaaaaaaaaaaarkingDog,0x0D강 - 시뮬레이션,-
568,automata,C++ 배우기 (101~150),-
1939,koosaga,IOI 국가대표가 되는 방법,-
2032,jaehoo1,왕초보,-
567,automata,C++ 배우기 (51~100),-
2812,koosaga,Connection Profile DP,-
2063,lcs11244,SW역량테스트 준비,-
7320,BaaaaaaaaaaarkingDog,0x11강 - 그리디,-
388,koosaga,Just For Fun,-
2047,trytty,대학생 기본반,-
2145,koosaga,재밌는 그리디,-
4823,jh05013,"Hi, so to me seems like a notorious coincidence. 2",-
1023,koosaga,Challenge for IOI,-
7315,BaaaaaaaaaaarkingDog,0x0C강 - 백트래킹,-
2033,jaehoo1,초보,-
7309,BaaaaaaaaaaarkingDog,0x05강 - 스택,-
4658,rkm0959,수학 연습용 문제들 - 플레 이하,-
2419,ryute,BOJ 길라잡이 베타 (2),-
460,automata,Python 배우기 (51~100),-
824,koosaga,FFT,-
569,automata,C++ 배우기 (151~200),-
882,koosaga,Dinic / Hopcroft-Karp,-
8400,BaaaaaaaaaaarkingDog,0x13강 - 이분탐색,-
8709,BaaaaaaaaaaarkingDog,0x14강 - 투 포인터,-
912,koosaga,Segtrees are too mainstream,-
9063,BaaaaaaaaaaarkingDog,0x15강 - 해시,-
4301,jh05013,동적 계획법을 최적화하는 9가지 방법,-
2328,koosaga,dynamic connectivity,-
1587,koosaga,Divide and Conquer Optimization,-
1984,njw1204,DP 필수 문제,-
1068,koosaga,귀여운 선인장,-
8174,BaaaaaaaaaaarkingDog,0x12강 - 수학,-
7306,BaaaaaaaaaaarkingDog,0x02강 - 기초 코드 작성 요령 II,-
9562,BaaaaaaaaaaarkingDog,0x18강 - 그래프,-
7311,BaaaaaaaaaaarkingDog,0x07강 - 덱,-
7318,BaaaaaaaaaaarkingDog,0x0F강 - 정렬 II,-
7314,BaaaaaaaaaaarkingDog,0x0B강 - 재귀,-
9657,BaaaaaaaaaaarkingDog,0x19강 - 트리,-
4804,jhnah917,재밌는 문제들 - 다이아,-
7307,BaaaaaaaaaaarkingDog,0x03강 - 배열,-
4378,cozyyg,어 셈 블 리,-
2329,koosaga,dynamic MST,-
2144,koosaga,Berlekamp-Massey,-
9,baekjoon,"팰린드롬 - Easy, Medium",-
9346,BaaaaaaaaaaarkingDog,0x16강 - 이진 검색 트리,-
2146,alex9801,Mr. Burnside and Mr. Pólya,-
7312,BaaaaaaaaaaarkingDog,0x08강 - 스택의 활용(수식의 괄호 쌍),-
7308,BaaaaaaaaaaarkingDog,0x04강 - 연결 리스트,-
1833,c3171700,"DFS, BFS 추천문제",-
2744,jh05013,월드 파이널 꿀문제,-
6040,queued_q,추천받은 문제,-
461,automata,Python 배우기 (101~150),-
617,automata,C++ 배우기 (351~400),-
6953,tlsdydaud1,아이디어로 푸는 문제,-
2176,jh05013,페트로자보스크 캠프 꿀문제,-
7317,BaaaaaaaaaaarkingDog,0x0E강 - 정렬 I,-
9502,BaaaaaaaaaaarkingDog,0x17강 - 우선순위 큐,-
4576,pentagon03,"KOI 고등 1,2번 ",-
3610,jh05013,Bulldozer,-
7310,BaaaaaaaaaaarkingDog,0x06강 - 큐,-
9738,BaaaaaaaaaaarkingDog,0x1A강 - 위상 정렬,-
4017,jh05013,분할정복으로 푸는 넓은 2차원 쿼리,-
570,automata,C++ 배우기 (201~250),-
8905,jh05013,"Hi, so to me seems like a notorious coincidence. 3",-
4382,queued_q,Looking for a Challenge?,-
9907,BaaaaaaaaaaarkingDog,0x1B강 - 최소 신장 트리,-
571,automata,C++ 배우기 (251~300),-
6783,tony9402,구현 (수정 : 2021-05-06),-
6594,rkm0959,"PS 정수론 가이드 - 유클리드, 확장 유클리드",-
2054,koosaga,국제 수학 올림피아드,-
4912,conankun,프로그래밍 콘테스트 챌린징 책에 나오는 문제들,-
965,cokcjswo,기억 해둘만한 DP,-
6082,xcrypt0r,♥ 정규식은 사랑입니다 ♥,-
2152,moonrabbit2,트리에서 큰거작은거,-
10433,BaaaaaaaaaaarkingDog,0x1D강 - 다익스트라 알고리즘,-
3471,koosaga,Voronoi Diagram,-
2782,shiftpsh,🥇 19-S Sogang ACM-ICPC Team Application (Gold),-
6593,rkm0959,PS 정수론 가이드 - 기본기 잡기,-
637,automata,C++ 배우기 (401~450),-
2435,njw1204,백준에서 가장 많이 풀린 문제 TOP 100 (입문자 추천),-
598,automata,C++ 배우기 (301~350),-
10318,BaaaaaaaaaaarkingDog,0x1C강 - 플로이드 알고리즘,-
7676,jh05013,내가 푼 추천 문제 (Diamond+),-
7271,tony9402,완전탐색 (수정 : 2021-05-06),-
8646,djs100201,문제 해결 능력 기르기,-
2084,koosaga,기회의 땅 폴란드,-
68,myungwoo,"Bipartite Matching, Maximum Flow",-
230,portableangel,미로왕,-
5116,cgiosy,Segment Tree Beats,-
4273,functionx,Slope Trick,-
4344,zagabi,자가비의 추천문제#1,-
5043,jh05013,Range update point query,-
11850,qwerasdfzxcl,2022 국대교육 2주차,-
11775,qwerasdfzxcl,2022 국대교육 1주차,-
1641,rkm0959,수학 연습용 문제들 - 다이아 이상,-
726,kks227,대학교 수업을 듣다보면 왠지 모르게 풀고 싶어지는 문제들 (1),-
10475,bc1916,"SW마에스트로 12기 지원대비 문제풀이 (1,2차)",-
2048,trytty,대학생 심화반,-
2781,shiftpsh,🥈 19-S Sogang ACM-ICPC Team Application (Silver),-
2784,shiftpsh,🥉 19-S Sogang ACM-ICPC Team Application (Bronze),-
4270,queued_q,재밌었던 문제들 1,-
1613,cheetose,XOR,-
2041,njw1204,Text로 풀 수 있는 문제,-
3252,comseung18,라이 11. 너비우선탐색,-
4400,functionx,토너먼트 그래프,-
2147,park780172,코딩 테스트 대비 및 코딩 공부,-
12205,BaaaaaaaaaaarkingDog,0x1E강 - KMP,-
10020,bubbler,타일 까는 (깎는?) 노인,-
13525,koosaga,최장 증가 부분 수열 오마카세,-
11899,79brue,2022 국대교육 3주차,-
6779,tony9402,자료구조 (수정 : 2021-04-20),-
2071,jaehoo1,정렬왕 김정렬,-
7750,soo7652,"자료구조(스택, 큐, 덱) (easy)",-
7893,jysaa5,기업 알고리즘 테스트 유형,-
727,kks227,대학교 수업을 듣다보면 왠지 모르게 풀고 싶어지는 문제들 (2),-
4351,dennisstar,재밌는 문제들,-
2260,kks227,USACO Gold problems after the Platinum level is created,-
2783,shiftpsh,🏵️ 19-S Sogang ACM-ICPC Team Application (Platinum),-
4097,applied7076,solved.ac Class I,-
706,hyowon6724,씨언어기초,-
2023,jung2381187,전산언어학의 왕,-
2034,jaehoo1,중급,-
6599,rkm0959,PS 정수론 가이드 - Mobius function과 활용,-
8440,queued_q,저세상 아이디어,-
7754,soo7652,BFS/DFS (easy),-
3176,gumdung,삼성 SW a형 대비 - BFS+빡구현,-
7020,tony9402,동적계획법 1 (수정 : 2021-04-20),-
3264,comseung18,라이 24. 투 포인터,-
12649,BaaaaaaaaaaarkingDog,0x1F강 - 트라이,-
7135,tony9402,백트래킹 (수정 : 2021-05-06),-
11193,pjshwa,재밌는 문제 모음,-
7263,dbfldkfdbgml,코딩 인터뷰에 자주 나오는 문제,-
7292,BaaaaaaaaaaarkingDog,"0x07강 - 백트래킹, 시뮬레이션_구버전",-
10166,tnsgh9603,최장스트릭 유지용 문제,-
1954,smu201111192,parallel binary search,-
6768,jhnah917,2020 2학기 동아리 수업 (중급),-
1928,gaelim,입사테스트준비용,-
2157,jaehoo1,중급4,-
15561,koosaga,Just Implement the Paper,-
3265,comseung18,라이 25. 다익스트라,-
70,myungwoo,Strong String!,-
5001,frtmpmtrf,Sololearn과 Python,-
3258,comseung18,라이 17. 우선순위 큐,-
6780,tony9402,자료구조2 (수정 : 2021-04-20),-
13245,koosaga,Suffix Automaton,-
822,cokcjswo,세그먼트 트리 응용,-
7738,soo7652,다이내믹 프로그래밍 (easy),-
12027,79brue,2022 국대교육 4주차,-
7304,BaaaaaaaaaaarkingDog,0x13강 - 플로이드 알고리즘_구버전,-
3010,newdeal,"🙋모스 알고리즘(Mo's Algorithm) ,평방 분할 모음",-
4531,blackking26,뉴비 추천 셋,-
