course_id,problem_id,title,correct_count,submission_count,correct_ratio
1152,13460,구슬 탈출 2,13430,79558,27.591%
1152,12100,2048 (Easy),13205,78183,26.177%
1152,3190,뱀,17873,64087,39.993%
1152,13458,시험 감독,18568,84004,28.700%
1152,14499,주사위 굴리기,14501,44710,44.392%
1152,14500,테트로미노,19096,77204,35.991%
1152,14501,퇴사,27205,82144,49.636%
1152,14502,연구소,26689,83553,54.809%
1152,14503,로봇 청소기,19401,52941,53.733%
1152,14888,연산자 끼워넣기,26604,87449,47.873%
1152,14889,스타트와 링크,24379,84531,46.170%
1152,14890,경사로,10380,25767,56.431%
1152,14891,톱니바퀴,13153,33069,54.579%
1152,15683,감시,12082,42504,43.907%
1152,15684,사다리 조작,7814,60813,21.728%
1152,15685,드래곤 커브,9103,23294,55.010%
1152,15686,치킨 배달,21160,72062,45.607%
1152,5373,큐빙,3486,13050,38.439%
1152,16234,인구 이동,13878,58789,37.332%
1152,16235,나무 재테크,7550,55520,21.939%
1152,16236,아기 상어,16624,59905,42.700%
1152,17144,미세먼지 안녕!,11962,32438,54.235%
1152,17143,낚시왕,7560,43870,26.572%
1152,17140,이차원 배열과 연산,5844,19009,43.996%
1152,17142,연구소 3,6386,40096,25.403%
1152,17779,게리맨더링 2,4301,11614,57.194%
1152,17837,새로운 게임 2,3756,12365,47.015%
1152,17822,원판 돌리기,4421,18842,33.356%
1152,17825,주사위 윷놀이,3364,12600,39.782%
1152,20061,모노미노도미노 2,1779,7382,34.624%
1152,19236,청소년 상어,4564,11380,64.839%
1152,19237,어른 상어,3404,13317,38.881%
1152,19238,스타트 택시,3866,27758,20.955%
1152,20055,컨베이어 벨트 위의 로봇,5773,14791,56.888%
1152,20056,마법사 상어와 파이어볼,4315,17782,36.215%
1152,20057,마법사 상어와 토네이도,3962,8343,70.978%
1152,20058,마법사 상어와 파이어스톰,3183,12184,39.457%
1152,21608,상어 초등학교,4846,16601,40.464%
1152,21609,상어 중학교,2502,10397,35.205%
1152,21610,마법사 상어와 비바라기,4175,11864,49.875%
1152,21611,마법사 상어와 블리자드,1908,12695,23.820%
1152,23288,주사위 굴리기 2,2187,4659,64.305%
1152,23289,온풍기 안녕!,1076,4727,37.309%
1152,23290,마법사 상어와 복제,1559,5274,50.798%
1152,23291,어항 정리,1317,3598,55.805%
4349,12865,평범한 배낭,24789,104325,35.451%
4349,1655,가운데를 말해요,11821,54026,30.342%
4349,3197,백조의 호수,3494,27610,19.141%
4349,11401,이항 계수 3,6602,24523,40.421%
4349,10830,행렬 제곱,8808,31127,34.383%
4349,2933,미네랄,2271,12571,25.457%
4349,2749,피보나치 수 3,7583,27868,39.288%
4349,9376,탈옥,1361,10025,26.345%
4349,6549,히스토그램에서 가장 큰 직사각형,8408,48233,26.515%
4349,6087,레이저 통신,1991,15164,26.851%
4349,11066,파일 합치기,9199,26946,49.843%
4349,11049,행렬 곱셈 순서,9114,27888,44.249%
4349,4991,로봇 청소기,2170,9928,30.859%
4349,7579,앱,7061,25169,37.130%
4349,10942,팰린드롬?,9629,48258,29.548%
4349,1039,교환,2698,16405,22.427%
4349,9370,미확인 도착지,3983,21827,24.984%
4349,1981,배열에서 이동,1469,8573,24.422%
4349,11657,타임머신,7304,53355,23.688%
4349,2931,가스관,1329,7791,27.844%
4349,11404,플로이드,16938,57357,41.566%
4349,10217,KCM Travel,715,24725,12.334%
4349,2151,거울 설치,1483,9001,24.708%
4349,16954,움직이는 미로 탈출,2465,12123,28.191%
4349,1956,운동,5688,19388,40.235%
4349,16946,벽 부수고 이동하기 4,3547,18080,25.163%
4349,2098,외판원 순회,7056,45430,27.087%
4349,2186,문자판,1251,7979,22.708%
4349,1086,박성원,1632,8734,25.397%
4349,17404,RGB거리 2,5587,11728,58.313%
4349,3108,로고,999,4485,30.569%
4349,12886,돌 그룹,2120,10522,28.320%
4349,2482,색상환,2886,11379,34.604%
4349,14002,가장 긴 증가하는 부분 수열 4,10254,34197,39.441%
4349,5213,과외맨,569,4447,20.736%
4349,14003,가장 긴 증가하는 부분 수열 5,6322,26516,33.864%
4349,9252,LCS 2,9242,33178,37.875%
4349,9177,단어 섞기,816,4208,27.624%
4349,1019,책 페이지,3718,15022,41.486%
4349,13913,숨바꼭질 4,8712,36835,31.398%
4349,11779,최소비용 구하기 2,6650,25445,36.275%
4349,5022,연결,375,2535,19.582%
4349,1167,트리의 지름,11374,43441,33.901%
4349,2263,트리의 순회,7084,28655,32.657%
4349,11812,K진 트리,1015,4946,26.966%
4349,11438,LCA 2,5529,29980,32.627%
4349,1717,집합의 표현,15953,83129,28.116%
4349,1976,여행 가자,9854,34958,37.049%
4349,1637,날카로운 눈,517,2598,29.988%
4349,4195,친구 네트워크,6946,41057,26.147%
4349,10775,공항,4698,18276,35.102%
4349,7682,틱택토,1026,4659,29.090%
4349,1197,최소 스패닝 트리,16935,69607,40.838%
4349,4386,별자리 만들기,6144,12919,58.303%
4349,10282,해킹,3784,12796,39.611%
4349,1774,우주신과의 교감,3560,16894,30.042%
4349,2887,행성 터널,5634,21912,34.942%
4349,15681,트리와 쿼리,3407,9598,46.134%
4349,16933,벽 부수고 이동하기 3,2002,12336,23.768%
4349,2213,트리의 독립집합,2109,5899,47.575%
4349,2533,사회망 서비스(SNS),4889,18773,36.657%
4349,1949,우수 마을,2757,7383,53.121%
4349,11758,CCW,6736,13674,61.522%
4349,2166,다각형의 면적,6190,27482,28.745%
4349,12781,PIZZA ALVOLOC,912,3601,33.641%
4349,17386,선분 교차 1,2544,9594,35.162%
4349,17387,선분 교차 2,2759,14352,25.889%
4349,2162,선분 그룹,2551,13380,26.980%
4349,1786,찾기,6518,37662,29.848%
4349,1701,Cubeditor,2241,8937,34.578%
4349,4354,문자열 제곱,1799,7900,32.961%
4349,10266,시계 사진들,1072,2919,47.308%
4349,14725,개미굴,2746,5390,66.057%
4349,2252,줄 세우기,15818,40771,56.752%
4349,3665,최종 순위,3066,11328,37.486%
4349,1005,ACM Craft,11565,65403,27.482%
4349,1766,문제집,8976,24118,48.498%
4349,14442,벽 부수고 이동하기 2,4354,23971,26.888%
4349,13344,Chess Tournament,360,1633,30.176%
4349,3584,가장 가까운 공통 조상,3430,8889,51.571%
4349,17435,합성함수와 쿼리,1630,4564,52.412%
4349,13511,트리와 쿼리 2,1132,5169,28.236%
4349,2150,Strongly Connected Component,3652,13304,45.576%
4349,4196,도미노,1802,8262,29.988%
4349,3977,축구 전술,1116,4032,33.973%
4349,4013,ATM,1096,6451,24.701%
4349,11280,2-SAT - 3,1433,3877,53.015%
4349,11281,2-SAT - 4,1253,4081,46.632%
4349,11505,구간 곱 구하기,5343,21254,32.522%
4349,11658,구간 합 구하기 3,1394,6095,35.140%
4349,1708,볼록 껍질,3454,24108,25.449%
4349,9240,로버트 후드,1228,6620,35.625%
4349,7420,맹독 방벽,646,1934,40.299%
4349,1867,돌멩이 제거,1242,2904,56.894%
4349,11375,열혈강호,3374,13214,42.281%
4349,11376,열혈강호 2,2323,7859,45.549%
4349,17412,도시 왕복하기 1,1169,4083,39.667%
4349,11378,열혈강호 4,1246,3876,45.978%
4349,2316,도시 왕복하기 2,1221,6334,26.812%
4357,15591,MooTube (Silver),1932,6861,37.808%
4357,10021,Watering the Fields,481,2478,26.342%
4357,17780,새로운 게임,1136,3115,49.434%
4357,18500,미네랄 2,652,2432,34.922%
4357,16639,괄호 추가하기 3,403,1231,44.878%
4357,1800,인터넷 설치,708,3005,32.537%
4357,14466,소가 길을 건너간 이유 6,944,3093,39.514%
4357,5852,Island Travels,57,336,25.676%
4357,5827,What's Up With Gravity,107,958,18.805%
4357,17837,새로운 게임 2,3756,12365,47.015%
4357,9874,Wormholes,75,283,35.377%
4357,5901,Relocation,90,264,39.823%
4357,9881,Ski Course Design,394,1149,45.655%
4357,13614,Ecologia,4,46,21.053%
4357,13595,Mania de Par,9,45,23.077%
4357,6063,Rubik's Cube,42,206,25.767%
4357,10037,Decorating the Pastures,47,135,39.167%
4357,10875,뱀,691,10387,13.436%
4357,14529,Where's Bessie?,59,156,44.030%
4357,16918,봄버맨,3058,10528,40.450%
4357,16967,배열 복원하기,1250,3335,45.224%
4357,13604,Jogo de Estratégia,90,162,62.069%
4357,13625,Boss,13,44,35.135%
4357,13627,Dangerous Dive,152,246,71.362%
4357,9879,Cross Country Skiing,84,203,48.555%
4357,9877,Ski Course Rating,94,271,53.714%
4357,17182,우주 탐사선,1057,2560,54.177%
4357,3109,빵집,5187,22527,30.879%
4357,18428,감시 피하기,2961,10161,43.404%
4357,2632,피자판매,1285,5241,35.167%
4357,4256,트리,2132,5243,56.061%
4357,17199,Milk Factory,325,717,53.808%
4357,2638,치즈,7758,22184,46.278%
4357,14324,Rain (Small),58,145,46.032%
