,user_id,recommended_rival
0,cheon4050,"['cheon4050', 'victory8237', 'chj2171', 'sitan516', 'sssm4444', 'qudrnr9305', 'aseprite']"
1,dhehdgus804,"['cheon4050', 'hurjeesic', 'kus536c', 'qkrdudwns98', 'regular098', 'wkd6576', 'wort23']"
2,ehdghks12,"['ehdghks12', 'parkhs8', 'russwe719', 'chw4753', 'kang3292468', 'ccg4you', 'thanku1598']"
3,godks18,"['godks18', 'ohh93mk', 'llimsg150', 'scott0202', 'gi0204', 'm5nacar5n', 'uiuh5534']"
4,juhyun167,"['juhyun167', 'dlrkd1239', 'power6897', 'wognsvkxld', 'vs970517', 'sudaku', 'chanw12']"
5,k2417000,"['k2417000', 'doolee13', 'kgs9321', 'sojungkid', 'sjj02055', 'jaesung97', 'wook0805']"
6,meme2367,"['meme2367', 'doolee13', 'rhkdals195', 'jaesung97', 'bazzi2548', 'starlover27', 'wook0805']"
7,perseids,"['perseids', 'algo_rithm', 'dudgns1239', 'jhc786', 'aslaring0804', 'jgjung9', 'dogdg23']"
8,rldnjs7,"['rldnjs7', 'ssh9199', 'shuhu_01', 'rightafter', 'yoyoyo5639', 'quddlr96', 'haejin1320']"
9,andongjoo,"['andongjoo', 'ww0111', 'mh991221', 'qkrdudwns98', 'rosesua', 'ycy526', 'swany0509']"
10,dlrkd1239,"['dlrkd1239', 'juhyun167', 'gustn913', 'vs970517', 'opi6opi6', 'sudaku', 'hyun1014']"
11,good10040624,"['good10040624', 'bigmsh', 'dia1012', 'sodp2', 'foodtech123', 'jacky0805', 'woojohn77']"
12,leesc0839,"['leesc0839', 'leedy3838', 'kimhot6', 'jessenorris94', 'asdzaq23', 'dydzlwwkd', 'rkdrlgks321']"
13,qse1346,"['qse1346', 'kiung22', 'yr4528', 'tw4204', 'dakara2006', '02kjw0203', 'chung3286']"
14,splguyjr,"['splguyjr', 'rhsnfl1122', 'yezi0807', 'iamchu98', 'tngus1140', 'sidz0520', 'ad12300']"
15,yoyoyo5639,"['yoyoyo5639', 'rldnjs7', 'qmdlrhdfyd', 'shuhu_01', 'dmsgh423', 'ssh9199', 'algo_rithm']"
16,cgy12306,"['cgy12306', 'rhkdals195', 'albadw0428', 'seyeonmon', 'bazzi2548', 'thatwho96', 'hsj3205']"
17,codediary18,"['codediary18', 'jin9497young', 'ysgg5045', 'mok03127', 'kmj951015', 'sehun8187', 'khabh']"
18,harryhajinchung,"['harryhajinchung', 'saygod81', 'wptjd6141', 'vennie09', 'humor999', 'ebseud6135', 'yellowssu']"
19,holim0,"['holim0', 'upuforever', 'leeugun123', 'wort23', 'wak8835', 'karl0905', 'crescmoon']"
20,ijdmc2002,"['ijdmc2002', 'jhhhkll', 'iskull', 'qudgus21', 'okemosboy', 'elaine610', 'ksd5653']"
21,kkh115505,"['kkh115505', 'for_python', 'rose0310', 'readyq', 'qkrrlgh519', 'njh215', 'hanhb1011']"
22,qweadzs,"['qweadzs', 'rlacksgus97', 'pjw5521', 'chj3748', 'klxex', 'sugamypapa', 'gvf156']"
23,2chanhaeng,"['2chanhaeng', 'kimms04', 'ru5358', 'xoguswndeld', 'ever4blue', 'hurjeesic', 'rooty2020']"
24,chjh121,"['chjh121', 'dltkddns11', 'ksd5653', 'jhhhkll', 'ruddks1001', 'gytkd33', 'klwon940']"
25,cw20,"['cw20', 'dltkdtn56', '4ppreciator', 'jgjung9', 'alswovkdlxj', 'strawberry24', 'algo_rithm']"
26,gmelddl514,"['gmelddl514', 'daseull', 'dev_nitro', 'chj3748', 'rlacksgus97', 'return_18', 'woongs']"
27,hgchang1,"['hgchang1', 'dnjswo105', 'ru5358', 'tjdejr339', 'roywnsdud', 'hwang0108', 'wsup97']"
28,lalua456,"['lalua456', 'm980107', 'ironhee8005', 'tepmilk', 'ucheriya', 'newhar', 'dbstmddbs4']"
29,nam2660433,"['nam2660433', 'okuu', 'icarus8050', 'npverpn', 'lapaho8645', 'wssj3259', 'jk0518']"
30,qudgus21,"['qudgus21', 'jhhhkll', 'ljh37694', 'ijdmc2002', 'kjk0407', 'dltkdtn56', 'dhoh33']"
31,ssjhkim76,"['ssjhkim76', 'lwc421', 'limminjeong98', 'jskimphys', 'ckwjdans', 'ckdwls6504', 'wodnr0710']"
32,sy7235,"['sy7235', 'kye222', 'pliot1017', 'xvbc', '24869', 'rlfehd2021', 'inar']"
33,wjdgjs2476,"['wjdgjs2476', 'wognsvkxld', 'kyeon9', 'vanessa7116', 'toy9910', 'nhlee4', 'koreakkrea12']"
